STATE,YEAR,POPULATION
Idaho,1966," 689,000 "
Illinois,1966," 10,836,000 "
Indiana,1966," 4,999,000 "
Iowa,1966," 2,762,000 "
Kansas,1966," 2,200,000 "
Kentucky,1966," 3,147,000 "
Louisiana,1966," 3,550,000 "
Maine,1966," 999,000 "
Maryland,1966," 3,695,000 "
Massachusetts,1966," 5,535,000 "
Michigan,1966," 8,512,000 "
Minnesota,1966," 3,617,000 "
Mississippi,1966," 2,245,000 "
Missouri,1966," 4,523,000 "
Montana,1966," 707,000 "
Nebraska,1966," 1,456,000 "
Nevada,1966," 446,000 "
New Hampshire,1966," 446,000 "
New Jersey,1966," 6,851,000 "
New Mexico,1966," 6,851,000 "
New York,1966," 17,843,000 "
North Carolina,1966," 4,896,000 "
North Dakota,1966," 647,000 "
Ohio,1966," 10,330,000 "
Oklahoma,1966," 2,454,000 "
Oregon,1966," 1,969,000 "
Pennsylvania,1966," 11,664,000 "
Rhode Island,1966," 899,000 "
South Carolina,1966," 2,520,000 "
South Dakota,1966," 683,000 "
Tennessee,1966," 3,822,000 "
Texas,1966," 10,492,000 "
District of Columbia,1966," 791,000 "
Utah,1966," 1,009,000 "
Vermont,1966," 413,000 "
Virginia,1966," 4,456,000 "
Washington,1966," 3,057,000 "
West Virginia,1966," 1,775,000 "
Wisconsin,1966," 4,274,000 "
Wyoming,1966," 323,000 "
Alaska,1967," 278,000 "
Alabama,1967," 3,458,000 "
Arkansas,1967," 1,901,000 "
Arizona,1967," 1,646,000 "
California,1967," 19,176,000 "
Colorado,1967," 2,053,000 "
Connecticut,1967," 2,935,000 "
Delaware,1967," 525,000 "
Florida,1967," 6,242,000 "
Georgia,1967," 4,408,000 "
Hawaii,1967," 723,000 "
Idaho,1967," 688,000 "
Illinois,1967," 10,947,000 "
Indiana,1967," 5,053,000 "
Iowa,1967," 2,793,000 "
Kansas,1967," 2,197,000 "
Kentucky,1967," 3,172,000 "
Louisiana,1967," 3,581,000 "
Maine,1967," 1,004,000 "
Maryland,1967," 3,757,000 "
Massachusetts,1967," 5,594,000 "
Michigan,1967," 8,630,000 "
Minnesota,1967," 3,659,000 "
Mississippi,1967," 2,228,000 "
Missouri,1967," 4,539,000 "
Montana,1967," 701,000 "
Nebraska,1967," 1,457,000 "
Nevada,1967," 449,000 "
New Hampshire,1967," 449,000 "
New Jersey,1967," 6,928,000 "
New Mexico,1967," 6,928,000 "
New York,1967," 17,935,000 "
North Carolina,1967," 4,952,000 "
North Dakota,1967," 626,000 "
Ohio,1967," 10,414,000 "
Oklahoma,1967," 2,489,000 "
Oregon,1967," 1,979,000 "
Pennsylvania,1967," 11,681,000 "
Rhode Island,1967," 909,000 "
South Carolina,1967," 2,533,000 "
South Dakota,1967," 671,000 "
Tennessee,1967," 3,859,000 "
Texas,1967," 10,599,000 "
District of Columbia,1967," 791,000 "
Utah,1967," 1,019,000 "
Vermont,1967," 423,000 "
Virginia,1967," 4,508,000 "
Washington,1967," 3,174,000 "
West Virginia,1967," 1,769,000 "
Wisconsin,1967," 4,303,000 "
Wyoming,1967," 322,000 "
Alaska,1968," 285,000 "
Alabama,1968," 3,446,000 "
Arkansas,1968," 1,902,000 "
Arizona,1968," 1,682,000 "
California,1968," 19,394,000 "
Colorado,1968," 2,120,000 "
Connecticut,1968," 2,964,000 "
Delaware,1968," 534,000 "
Florida,1968," 6,433,000 "
Georgia,1968," 4,482,000 "
Hawaii,1968," 734,000 "
Idaho,1968," 695,000 "
Illinois,1968," 10,995,000 "
Indiana,1968," 5,093,000 "
Iowa,1968," 2,803,000 "
Kansas,1968," 2,216,000 "
Kentucky,1968," 3,195,000 "
Louisiana,1968," 3,603,000 "
Maine,1968," 994,000 "
Maryland,1968," 3,815,000 "
Massachusetts,1968," 5,618,000 "
Michigan,1968," 8,696,000 "
Minnesota,1968," 3,703,000 "
Mississippi,1968," 2,219,000 "
Missouri,1968," 4,568,000 "
Montana,1968," 700,000 "
Nebraska,1968," 1,467,000 "
Nevada,1968," 464,000 "
New Hampshire,1968," 464,000 "
New Jersey,1968," 7,005,000 "
New Mexico,1968," 7,005,000 "
New York,1968," 18,051,000 "
North Carolina,1968," 5,004,000 "
North Dakota,1968," 621,000 "
Ohio,1968," 10,516,000 "
Oklahoma,1968," 2,503,000 "
Oregon,1968," 2,004,000 "
Pennsylvania,1968," 11,741,000 "
Rhode Island,1968," 922,000 "
South Carolina,1968," 2,559,000 "
South Dakota,1968," 669,000 "
Tennessee,1968," 3,878,000 "
Texas,1968," 10,819,000 "
District of Columbia,1968," 778,000 "
Utah,1968," 1,029,000 "
Vermont,1968," 430,000 "
Virginia,1968," 4,558,000 "
Washington,1968," 3,270,000 "
West Virginia,1968," 1,763,000 "
Wisconsin,1968," 4,345,000 "
Wyoming,1968," 324,000 "
Alaska,1969," 296,000 "
Alabama,1969," 3,440,000 "
Arkansas,1969," 1,913,000 "
Arizona,1969," 1,737,000 "
California,1969," 19,711,000 "
Colorado,1969," 2,166,000 "
Connecticut,1969," 3,000,000 "
Delaware,1969," 540,000 "
Florida,1969," 6,641,000 "
Georgia,1969," 4,551,000 "
Hawaii,1969," 750,000 "
Idaho,1969," 707,000 "
Illinois,1969," 11,039,000 "
Indiana,1969," 5,143,000 "
Iowa,1969," 2,805,000 "
Kansas,1969," 2,236,000 "
Kentucky,1969," 3,198,000 "
Louisiana,1969," 3,619,000 "
Maine,1969," 992,000 "
Maryland,1969," 3,868,000 "
Massachusetts,1969," 5,650,000 "
Michigan,1969," 8,781,000 "
Minnesota,1969," 3,758,000 "
Mississippi,1969," 2,220,000 "
Missouri,1969," 4,640,000 "
Montana,1969," 694,000 "
Nebraska,1969," 1,474,000 "
Nevada,1969," 480,000 "
New Hampshire,1969," 480,000 "
New Jersey,1969," 7,095,000 "
New Mexico,1969," 7,095,000 "
New York,1969," 18,105,000 "
North Carolina,1969," 5,031,000 "
North Dakota,1969," 621,000 "
Ohio,1969," 10,563,000 "
Oklahoma,1969," 2,535,000 "
Oregon,1969," 2,062,000 "
Pennsylvania,1969," 11,741,000 "
Rhode Island,1969," 932,000 "
South Carolina,1969," 2,570,000 "
South Dakota,1969," 668,000 "
Tennessee,1969," 3,897,000 "
Texas,1969," 11,045,000 "
District of Columbia,1969," 762,000 "
Utah,1969," 1,047,000 "
Vermont,1969," 437,000 "
Virginia,1969," 4,614,000 "
Washington,1969," 3,343,000 "
West Virginia,1969," 1,746,000 "
Wisconsin,1969," 4,378,000 "
Wyoming,1969," 329,000 "
Alaska,1970," 302,583 "
Alabama,1970," 3,444,354 "
Arkansas,1970," 1,923,322 "
Arizona,1970," 1,775,399 "
California,1970," 19,971,069 "
Colorado,1970," 2,209,596 "
Connecticut,1970," 3,032,217 "
Delaware,1970," 548,104 "
Florida,1970," 6,791,418 "
Georgia,1970," 4,587,930 "
Hawaii,1970," 769,913 "
Idaho,1970," 713,015 "
Illinois,1970," 11,110,285 "
Indiana,1970," 5,195,392 "
Iowa,1970," 2,825,368 "
Kansas,1970," 2,249,071 "
Kentucky,1970," 3,220,711 "
Louisiana,1970," 3,644,637 "
Maine,1970," 993,722 "
Maryland,1970," 3,923,897 "
Massachusetts,1970," 5,689,170 "
Michigan,1970," 8,881,826 "
Minnesota,1970," 3,806,103 "
Mississippi,1970," 2,216,994 "
Missouri,1970," 4,677,623 "
Montana,1970," 694,409 "
Nebraska,1970," 1,485,333 "
Nevada,1970," 488,738 "
New Hampshire,1970," 488,738 "
New Jersey,1970," 7,171,112 "
New Mexico,1970," 7,171,112 "
New York,1970," 18,241,391 "
North Carolina,1970," 5,084,411 "
North Dakota,1970," 617,792 "
Ohio,1970," 10,657,423 "
Oklahoma,1970," 2,559,463 "
Oregon,1970," 2,091,533 "
Pennsylvania,1970," 11,800,766 "
Rhode Island,1970," 949,723 "
South Carolina,1970," 2,590,713 "
South Dakota,1970," 666,257 "
Tennessee,1970," 3,926,018 "
Texas,1970," 11,198,655 "
District of Columbia,1970," 756,668 "
Utah,1970," 1,059,273 "
Vermont,1970," 444,732 "
Virginia,1970," 4,651,448 "
Washington,1970," 3,413,244 "
West Virginia,1970," 1,744,237 "
Wisconsin,1970," 4,417,821 "
Wyoming,1970," 332,416 "
Alaska,1971," 315,510 "
Alabama,1971," 3,497,076 "
Arkansas,1971," 1,972,312 "
Arizona,1971," 1,895,814 "
California,1971," 20,345,939 "
Colorado,1971," 2,303,524 "
Connecticut,1971," 3,060,938 "
Delaware,1971," 564,708 "
Florida,1971," 7,158,304 "
Georgia,1971," 4,711,550 "
Hawaii,1971," 801,644 "
Idaho,1971," 738,753 "
Illinois,1971," 11,202,397 "
Indiana,1971," 5,253,396 "
Iowa,1971," 2,851,705 "
Kansas,1971," 2,246,600 "
Kentucky,1971," 3,298,053 "
Louisiana,1971," 3,710,487 "
Maine,1971," 1,015,390 "
Maryland,1971," 4,018,324 "
Massachusetts,1971," 5,737,580 "
Michigan,1971," 8,974,186 "
Minnesota,1971," 3,853,486 "
Mississippi,1971," 2,265,432 "
Missouri,1971," 4,725,764 "
Montana,1971," 710,814 "
Nebraska,1971," 1,504,604 "
Nevada,1971," 520,018 "
New Hampshire,1971," 520,018 "
New Jersey,1971," 7,281,107 "
New Mexico,1971," 7,281,107 "
New York,1971," 18,357,982 "
North Carolina,1971," 5,203,531 "
North Dakota,1971," 626,760 "
Ohio,1971," 10,734,818 "
Oklahoma,1971," 2,618,601 "
Oregon,1971," 2,151,022 "
Pennsylvania,1971," 11,886,400 "
Rhode Island,1971," 963,107 "
South Carolina,1971," 2,662,269 "
South Dakota,1971," 671,297 "
Tennessee,1971," 4,013,608 "
Texas,1971," 11,509,848 "
District of Columbia,1971," 749,781 "
Utah,1971," 1,101,192 "
Vermont,1971," 454,318 "
Virginia,1971," 4,750,838 "
Washington,1971," 3,447,553 "
West Virginia,1971," 1,770,657 "
Wisconsin,1971," 4,462,155 "
Wyoming,1971," 340,285 "
Alaska,1972," 324,464 "
Alabama,1972," 3,539,400 "
Arkansas,1972," 2,018,638 "
Arizona,1972," 2,008,291 "
California,1972," 20,585,469 "
Colorado,1972," 2,404,619 "
Connecticut,1972," 3,068,699 "
Delaware,1972," 572,913 "
Florida,1972," 7,511,463 "
Georgia,1972," 4,809,490 "
Hawaii,1972," 828,331 "
Idaho,1972," 763,237 "
Illinois,1972," 11,251,948 "
Indiana,1972," 5,302,435 "
Iowa,1972," 2,860,287 "
Kansas,1972," 2,256,375 "
Kentucky,1972," 3,335,728 "
Louisiana,1972," 3,761,646 "
Maine,1972," 1,034,292 "
Maryland,1972," 4,073,499 "
Massachusetts,1972," 5,760,302 "
Michigan,1972," 9,028,944 "
Minnesota,1972," 3,869,747 "
Mississippi,1972," 2,307,117 "
Missouri,1972," 4,758,780 "
Montana,1972," 718,732 "
Nebraska,1972," 1,519,013 "
Nevada,1972," 546,789 "
New Hampshire,1972," 546,789 "
New Jersey,1972," 7,335,042 "
New Mexico,1972," 7,335,042 "
New York,1972," 18,339,400 "
North Carolina,1972," 5,301,150 "
North Dakota,1972," 631,119 "
Ohio,1972," 10,746,993 "
Oklahoma,1972," 2,658,646 "
Oregon,1972," 2,197,297 "
Pennsylvania,1972," 11,908,233 "
Rhode Island,1972," 974,790 "
South Carolina,1972," 2,719,197 "
South Dakota,1972," 677,234 "
Tennessee,1972," 4,094,611 "
Texas,1972," 11,759,148 "
District of Columbia,1972," 742,241 "
Utah,1972," 1,135,449 "
Vermont,1972," 463,143 "
Virginia,1972," 4,824,472 "
Washington,1972," 3,447,885 "
West Virginia,1972," 1,797,648 "
Wisconsin,1972," 4,502,412 "
Wyoming,1972," 347,345 "
Alaska,1973," 330,543 "
Alabama,1973," 3,579,780 "
Arkansas,1973," 2,059,256 "
Arizona,1973," 2,124,438 "
California,1973," 20,868,728 "
Colorado,1973," 2,495,868 "
Connecticut,1973," 3,067,814 "
Delaware,1973," 577,759 "
Florida,1973," 7,913,696 "
Georgia,1973," 4,910,374 "
Hawaii,1973," 851,595 "
Idaho,1973," 782,074 "
Illinois,1973," 11,251,367 "
Indiana,1973," 5,338,277 "
Iowa,1973," 2,863,715 "
Kansas,1973," 2,265,603 "
Kentucky,1973," 3,371,024 "
Louisiana,1973," 3,788,375 "
Maine,1973," 1,045,655 "
Maryland,1973," 4,097,974 "
Massachusetts,1973," 5,781,172 "
Michigan,1973," 9,077,956 "
Minnesota,1973," 3,889,332 "
Mississippi,1973," 2,349,546 "
Missouri,1973," 4,782,645 "
Montana,1973," 726,798 "
Nebraska,1973," 1,529,567 "
Nevada,1973," 568,991 "
New Hampshire,1973," 568,991 "
New Jersey,1973," 7,333,083 "
New Mexico,1973," 7,333,083 "
New York,1973," 18,177,063 "
North Carolina,1973," 5,389,852 "
North Dakota,1973," 632,675 "
Ohio,1973," 10,767,314 "
Oklahoma,1973," 2,695,931 "
Oregon,1973," 2,241,932 "
Pennsylvania,1973," 11,890,527 "
Rhode Island,1973," 975,738 "
South Carolina,1973," 2,776,605 "
South Dakota,1973," 678,715 "
Tennessee,1973," 4,147,401 "
Texas,1973," 12,019,543 "
District of Columbia,1973," 731,488 "
Utah,1973," 1,170,040 "
Vermont,1973," 468,430 "
Virginia,1973," 4,901,292 "
Washington,1973," 3,478,782 "
West Virginia,1973," 1,806,360 "
Wisconsin,1973," 4,524,244 "
Wyoming,1973," 354,061 "
Alaska,1974," 341,063 "
Alabama,1974," 3,626,499 "
Arkansas,1974," 2,101,403 "
Arizona,1974," 2,223,196 "
California,1974," 21,173,865 "
Colorado,1974," 2,541,406 "
Connecticut,1974," 3,074,047 "
Delaware,1974," 581,418 "
Florida,1974," 8,298,762 "
Georgia,1974," 4,999,419 "
Hawaii,1974," 867,978 "
Idaho,1974," 807,990 "
Illinois,1974," 11,262,145 "
Indiana,1974," 5,361,890 "
Iowa,1974," 2,867,530 "
Kansas,1974," 2,269,499 "
Kentucky,1974," 3,416,315 "
Louisiana,1974," 3,820,109 "
Maine,1974," 1,059,040 "
Maryland,1974," 4,118,815 "
Massachusetts,1974," 5,773,548 "
Michigan,1974," 9,117,507 "
Minnesota,1974," 3,903,925 "
Mississippi,1974," 2,378,268 "
Missouri,1974," 4,795,930 "
Montana,1974," 736,419 "
Nebraska,1974," 1,539,191 "
Nevada,1974," 596,822 "
New Hampshire,1974," 596,822 "
New Jersey,1974," 7,332,411 "
New Mexico,1974," 7,332,411 "
New York,1974," 18,049,775 "
North Carolina,1974," 5,470,911 "
North Dakota,1974," 634,559 "
Ohio,1974," 10,765,759 "
Oklahoma,1974," 2,734,768 "
Oregon,1974," 2,285,013 "
Pennsylvania,1974," 11,870,884 "
Rhode Island,1974," 950,615 "
South Carolina,1974," 2,844,749 "
South Dakota,1974," 679,585 "
Tennessee,1974," 4,213,509 "
Texas,1974," 12,268,629 "
District of Columbia,1974," 717,947 "
Utah,1974," 1,200,471 "
Vermont,1974," 473,002 "
Virginia,1974," 4,971,069 "
Washington,1974," 3,549,946 "
West Virginia,1974," 1,815,447 "
Wisconsin,1974," 4,545,782 "
Wyoming,1974," 365,501 "
Alaska,1975," 376,170 "
Alabama,1975," 3,678,814 "
Arkansas,1975," 2,159,526 "
Arizona,1975," 2,284,847 "
California,1975," 21,537,849 "
Colorado,1975," 2,586,192 "
Connecticut,1975," 3,082,500 "
Delaware,1975," 586,589 "
Florida,1975," 8,518,422 "
Georgia,1975," 5,064,075 "
Hawaii,1975," 886,160 "
Idaho,1975," 831,982 "
Illinois,1975," 11,291,743 "
Indiana,1975," 5,365,766 "
Iowa,1975," 2,880,847 "
Kansas,1975," 2,280,578 "
Kentucky,1975," 3,467,769 "
Louisiana,1975," 3,886,104 "
Maine,1975," 1,071,995 "
Maryland,1975," 4,139,096 "
Massachusetts,1975," 5,757,756 "
Michigan,1975," 9,117,668 "
Minnesota,1975," 3,932,515 "
Mississippi,1975," 2,399,449 "
Missouri,1975," 4,808,308 "
Montana,1975," 748,208 "
Nebraska,1975," 1,543,117 "
Nevada,1975," 619,972 "
New Hampshire,1975," 619,972 "
New Jersey,1975," 7,337,765 "
New Mexico,1975," 7,337,765 "
New York,1975," 18,003,485 "
North Carolina,1975," 5,547,188 "
North Dakota,1975," 638,886 "
Ohio,1975," 10,770,425 "
Oklahoma,1975," 2,774,683 "
Oregon,1975," 2,329,661 "
Pennsylvania,1975," 11,906,095 "
Rhode Island,1975," 942,788 "
South Carolina,1975," 2,902,028 "
South Dakota,1975," 681,042 "
Tennessee,1975," 4,275,566 "
Texas,1975," 12,568,843 "
District of Columbia,1975," 706,871 "
Utah,1975," 1,236,030 "
Vermont,1975," 479,713 "
Virginia,1975," 5,047,395 "
Washington,1975," 3,621,339 "
West Virginia,1975," 1,842,250 "
Wisconsin,1975," 4,578,986 "
Wyoming,1975," 381,695 "
Alaska,1976," 400,969 "
Alabama,1976," 3,735,139 "
Arkansas,1976," 2,170,161 "
Arizona,1976," 2,346,157 "
California,1976," 21,935,909 "
Colorado,1976," 2,632,306 "
Connecticut,1976," 3,083,335 "
Delaware,1976," 590,166 "
Florida,1976," 8,667,379 "
Georgia,1976," 5,132,812 "
Hawaii,1976," 904,191 "
Idaho,1976," 856,983 "
Illinois,1976," 11,342,853 "
Indiana,1976," 5,389,088 "
Iowa,1976," 2,903,082 "
Kansas,1976," 2,301,001 "
Kentucky,1976," 3,529,257 "
Louisiana,1976," 3,950,605 "
Maine,1976," 1,088,412 "
Maryland,1976," 4,150,539 "
Massachusetts,1976," 5,743,672 "
Michigan,1976," 9,129,205 "
Minnesota,1976," 3,964,680 "
Mississippi,1976," 2,429,756 "
Missouri,1976," 4,839,029 "
Montana,1976," 757,317 "
Nebraska,1976," 1,550,911 "
Nevada,1976," 646,975 "
New Hampshire,1976," 646,975 "
New Jersey,1976," 7,339,745 "
New Mexico,1976," 7,339,745 "
New York,1976," 17,940,541 "
North Carolina,1976," 5,607,964 "
North Dakota,1976," 645,797 "
Ohio,1976," 10,752,662 "
Oklahoma,1976," 2,826,815 "
Oregon,1976," 2,378,262 "
Pennsylvania,1976," 11,897,378 "
Rhode Island,1976," 946,089 "
South Carolina,1976," 2,943,657 "
South Dakota,1976," 686,390 "
Tennessee,1976," 4,346,928 "
Texas,1976," 12,904,089 "
District of Columbia,1976," 692,295 "
Utah,1976," 1,274,928 "
Vermont,1976," 484,928 "
Virginia,1976," 5,121,863 "
Washington,1976," 3,693,610 "
West Virginia,1976," 1,879,503 "
Wisconsin,1976," 4,595,904 "
Wyoming,1976," 396,952 "
Alaska,1977," 403,436 "
Alabama,1977," 3,780,403 "
Arkansas,1977," 2,209,010 "
Arizona,1977," 2,425,197 "
California,1977," 22,352,396 "
Colorado,1977," 2,696,140 "
Connecticut,1977," 3,085,722 "
Delaware,1977," 591,829 "
Florida,1977," 8,856,183 "
Georgia,1977," 5,219,697 "
Hawaii,1977," 918,259 "
Idaho,1977," 883,469 "
Illinois,1977," 11,386,316 "
Indiana,1977," 5,425,638 "
Iowa,1977," 2,913,573 "
Kansas,1977," 2,320,647 "
Kentucky,1977," 3,573,693 "
Louisiana,1977," 4,014,459 "
Maine,1977," 1,103,578 "
Maryland,1977," 4,169,595 "
Massachusetts,1977," 5,738,199 "
Michigan,1977," 9,171,110 "
Minnesota,1977," 3,989,364 "
Mississippi,1977," 2,459,201 "
Missouri,1977," 4,863,173 "
Montana,1977," 769,953 "
Nebraska,1977," 1,556,842 "
Nevada,1977," 678,333 "
New Hampshire,1977," 678,333 "
New Jersey,1977," 7,337,169 "
New Mexico,1977," 7,337,169 "
New York,1977," 17,812,602 "
North Carolina,1977," 5,685,607 "
North Dakota,1977," 649,769 "
Ohio,1977," 10,771,394 "
Oklahoma,1977," 2,870,014 "
Oregon,1977," 2,446,673 "
Pennsylvania,1977," 11,893,591 "
Rhode Island,1977," 950,230 "
South Carolina,1977," 2,991,681 "
South Dakota,1977," 688,480 "
Tennessee,1977," 4,422,921 "
Texas,1977," 13,193,050 "
District of Columbia,1977," 677,228 "
Utah,1977," 1,319,512 "
Vermont,1977," 491,931 "
Virginia,1977," 5,193,112 "
Washington,1977," 3,776,050 "
West Virginia,1977," 1,908,088 "
Wisconsin,1977," 4,626,514 "
Wyoming,1977," 413,354 "
Alaska,1978," 404,766 "
Alabama,1978," 3,831,836 "
Arkansas,1978," 2,243,127 "
Arizona,1978," 2,515,316 "
California,1978," 22,835,958 "
Colorado,1978," 2,766,748 "
Connecticut,1978," 3,091,627 "
Delaware,1978," 594,776 "
Florida,1978," 9,102,032 "
Georgia,1978," 5,295,751 "
Hawaii,1978," 931,584 "
Idaho,1978," 910,690 "
Illinois,1978," 11,412,561 "
Indiana,1978," 5,470,214 "
Iowa,1978," 2,918,069 "
Kansas,1978," 2,335,657 "
Kentucky,1978," 3,609,976 "
Louisiana,1978," 4,068,579 "
Maine,1978," 1,113,566 "
Maryland,1978," 4,183,603 "
Massachusetts,1978," 5,736,469 "
Michigan,1978," 9,217,761 "
Minnesota,1978," 4,015,341 "
Mississippi,1978," 2,487,816 "
Missouri,1978," 4,889,399 "
Montana,1978," 782,317 "
Nebraska,1978," 1,563,884 "
Nevada,1978," 719,436 "
New Hampshire,1978," 719,436 "
New Jersey,1978," 7,350,804 "
New Mexico,1978," 7,350,804 "
New York,1978," 17,680,589 "
North Carolina,1978," 5,759,492 "
North Dakota,1978," 651,301 "
Ohio,1978," 10,795,581 "
Oklahoma,1978," 2,917,336 "
Oregon,1978," 2,518,298 "
Pennsylvania,1978," 11,879,396 "
Rhode Island,1978," 951,816 "
South Carolina,1978," 3,044,364 "
South Dakota,1978," 688,580 "
Tennessee,1978," 4,486,314 "
Texas,1978," 13,500,429 "
District of Columbia,1978," 665,052 "
Utah,1978," 1,367,510 "
Vermont,1978," 498,109 "
Virginia,1978," 5,270,240 "
Washington,1978," 3,889,073 "
West Virginia,1978," 1,923,395 "
Wisconsin,1978," 4,646,108 "
Wyoming,1978," 432,880 "
Alaska,1979," 402,753 "
Alabama,1979," 3,866,248 "
Arkansas,1979," 2,271,333 "
Arizona,1979," 2,635,571 "
California,1979," 23,256,880 "
Colorado,1979," 2,849,234 "
Connecticut,1979," 3,095,917 "
Delaware,1979," 594,984 "
Florida,1979," 9,426,159 "
Georgia,1979," 5,401,384 "
Hawaii,1979," 953,306 "
Idaho,1979," 932,627 "
Illinois,1979," 11,396,837 "
Indiana,1979," 5,501,174 "
Iowa,1979," 2,915,739 "
Kansas,1979," 2,350,906 "
Kentucky,1979," 3,641,804 "
Louisiana,1979," 4,137,665 "
Maine,1979," 1,122,563 "
Maryland,1979," 4,191,160 "
Massachusetts,1979," 5,738,404 "
Michigan,1979," 9,266,268 "
Minnesota,1979," 4,050,316 "
Mississippi,1979," 2,507,069 "
Missouri,1979," 4,912,430 "
Montana,1979," 787,305 "
Nebraska,1979," 1,567,344 "
Nevada,1979," 765,367 "
New Hampshire,1979," 765,367 "
New Jersey,1979," 7,366,512 "
New Mexico,1979," 7,366,512 "
New York,1979," 17,583,838 "
North Carolina,1979," 5,823,491 "
North Dakota,1979," 652,896 "
Ohio,1979," 10,798,298 "
Oklahoma,1979," 2,975,310 "
Oregon,1979," 2,588,012 "
Pennsylvania,1979," 11,887,975 "
Rhode Island,1979," 950,382 "
South Carolina,1979," 3,090,267 "
South Dakota,1979," 688,335 "
Tennessee,1979," 4,560,473 "
Texas,1979," 13,888,371 "
District of Columbia,1979," 650,016 "
Utah,1979," 1,420,238 "
Vermont,1979," 505,372 "
Virginia,1979," 5,307,945 "
Washington,1979," 4,017,632 "
West Virginia,1979," 1,942,146 "
Wisconsin,1979," 4,682,811 "
Wyoming,1979," 454,378 "
Alaska,1980," 405,315 "
Alabama,1980," 3,900,368 "
Arkansas,1980," 2,288,738 "
Arizona,1980," 2,737,774 "
California,1980," 23,800,800 "
Colorado,1980," 2,908,803 "
Connecticut,1980," 3,113,174 "
Delaware,1980," 594,919 "
Florida,1980," 9,839,835 "
Georgia,1980," 5,486,174 "
Hawaii,1980," 967,710 "
Idaho,1980," 947,983 "
Illinois,1980," 11,434,702 "
Indiana,1980," 5,490,721 "
Iowa,1980," 2,914,018 "
Kansas,1980," 2,369,039 "
Kentucky,1980," 3,664,221 "
Louisiana,1980," 4,223,101 "
Maine,1980," 1,126,860 "
Maryland,1980," 4,227,643 "
Massachusetts,1980," 5,746,075 "
Michigan,1980," 9,255,553 "
Minnesota,1980," 4,085,017 "
Mississippi,1980," 2,525,342 "
Missouri,1980," 4,921,966 "
Montana,1980," 788,752 "
Nebraska,1980," 1,572,296 "
Nevada,1980," 810,215 "
New Hampshire,1980," 810,215 "
New Jersey,1980," 7,376,330 "
New Mexico,1980," 7,376,330 "
New York,1980," 17,566,754 "
North Carolina,1980," 5,898,980 "
North Dakota,1980," 654,380 "
Ohio,1980," 10,800,650 "
Oklahoma,1980," 3,040,758 "
Oregon,1980," 2,641,218 "
Pennsylvania,1980," 11,868,305 "
Rhode Island,1980," 948,773 "
South Carolina,1980," 3,134,502 "
South Dakota,1980," 690,851 "
Tennessee,1980," 4,600,252 "
Texas,1980," 14,338,208 "
District of Columbia,1980," 638,284 "
Utah,1980," 1,472,595 "
Vermont,1980," 512,524 "
Virginia,1980," 5,368,334 "
Washington,1980," 4,154,678 "
West Virginia,1980," 1,951,349 "
Wisconsin,1980," 4,712,045 "
Wyoming,1980," 474,185 "
Alaska,1981," 418,491 "
Alabama,1981," 3,918,531 "
Arkansas,1981," 2,293,201 "
Arizona,1981," 2,810,107 "
California,1981," 24,285,933 "
Colorado,1981," 2,977,898 "
Connecticut,1981," 3,128,836 "
Delaware,1981," 595,975 "
Florida,1981," 10,192,774 "
Georgia,1981," 5,568,345 "
Hawaii,1981," 978,195 "
Idaho,1981," 962,204 "
Illinois,1981," 11,443,458 "
Indiana,1981," 5,480,435 "
Iowa,1981," 2,907,983 "
Kansas,1981," 2,384,849 "
Kentucky,1981," 3,670,394 "
Louisiana,1981," 4,283,303 "
Maine,1981," 1,133,033 "
Maryland,1981," 4,261,905 "
Massachusetts,1981," 5,768,685 "
Michigan,1981," 9,209,287 "
Minnesota,1981," 4,111,728 "
Mississippi,1981," 2,539,036 "
Missouri,1981," 4,932,064 "
Montana,1981," 795,328 "
Nebraska,1981," 1,578,515 "
Nevada,1981," 847,655 "
New Hampshire,1981," 847,655 "
New Jersey,1981," 7,407,472 "
New Mexico,1981," 7,407,472 "
New York,1981," 17,567,734 "
North Carolina,1981," 5,956,653 "
North Dakota,1981," 659,505 "
Ohio,1981," 10,788,330 "
Oklahoma,1981," 3,096,164 "
Oregon,1981," 2,667,982 "
Pennsylvania,1981," 11,858,567 "
Rhode Island,1981," 953,013 "
South Carolina,1981," 3,179,255 "
South Dakota,1981," 689,584 "
Tennessee,1981," 4,627,658 "
Texas,1981," 14,746,318 "
District of Columbia,1981," 636,893 "
Utah,1981," 1,515,471 "
Vermont,1981," 515,594 "
Virginia,1981," 5,444,097 "
Washington,1981," 4,235,731 "
West Virginia,1981," 1,954,124 "
Wisconsin,1981," 4,726,343 "
Wyoming,1981," 491,712 "
Alaska,1982," 449,606 "
Alabama,1982," 3,925,266 "
Arkansas,1982," 2,294,257 "
Arizona,1982," 2,889,861 "
California,1982," 24,820,009 "
Colorado,1982," 3,061,564 "
Connecticut,1982," 3,139,013 "
Delaware,1982," 599,148 "
Florida,1982," 10,471,407 "
Georgia,1982," 5,649,792 "
Hawaii,1982," 993,780 "
Idaho,1982," 973,721 "
Illinois,1982," 11,423,412 "
Indiana,1982," 5,467,922 "
Iowa,1982," 2,888,189 "
Kansas,1982," 2,401,202 "
Kentucky,1982," 3,683,445 "
Louisiana,1982," 4,352,608 "
Maine,1982," 1,136,684 "
Maryland,1982," 4,282,923 "
Massachusetts,1982," 5,771,222 "
Michigan,1982," 9,115,198 "
