STATE,YEAR,POPULATION
Indiana,1953," 4,182,000 "
Iowa,1953," 2,629,000 "
Kansas,1953," 1,994,000 "
Kentucky,1953," 2,903,000 "
Louisiana,1953," 2,866,000 "
Maine,1953," 913,000 "
Maryland,1953," 2,567,000 "
Massachusetts,1953," 4,806,000 "
Michigan,1953," 6,822,000 "
Minnesota,1953," 3,050,000 "
Mississippi,1953," 2,105,000 "
Missouri,1953," 4,020,000 "
Montana,1953," 616,000 "
Nebraska,1953," 1,318,000 "
Nevada,1953," 195,000 "
New Hampshire,1953," 195,000 "
New Jersey,1953," 5,229,000 "
New Mexico,1953," 5,229,000 "
New York,1953," 15,527,000 "
North Carolina,1953," 4,120,000 "
North Dakota,1953," 609,000 "
Ohio,1953," 8,591,000 "
Oklahoma,1953," 2,182,000 "
Oregon,1953," 1,601,000 "
Pennsylvania,1953," 10,662,000 "
Rhode Island,1953," 815,000 "
South Carolina,1953," 2,181,000 "
South Dakota,1953," 648,000 "
Tennessee,1953," 3,319,000 "
Texas,1953," 8,336,000 "
District of Columbia,1953," 810,000 "
Utah,1953," 739,000 "
Vermont,1953," 379,000 "
Virginia,1953," 3,557,000 "
Washington,1953," 2,466,000 "
West Virginia,1953," 1,929,000 "
Wisconsin,1953," 3,506,000 "
Wyoming,1953," 290,000 "
Alaska,1954," 215,000 "
Alabama,1954," 3,014,000 "
Arkansas,1954," 1,734,000 "
Arizona,1954," 933,000 "
California,1954," 12,746,000 "
Colorado,1954," 1,493,000 "
Connecticut,1954," 2,249,000 "
Delaware,1954," 368,000 "
Florida,1954," 3,505,000 "
Georgia,1954," 3,602,000 "
Hawaii,1954," 505,000 "
Idaho,1954," 600,000 "
Illinois,1954," 9,252,000 "
Indiana,1954," 4,264,000 "
Iowa,1954," 2,626,000 "
Kansas,1954," 2,042,000 "
Kentucky,1954," 2,902,000 "
Louisiana,1954," 2,883,000 "
Maine,1954," 927,000 "
Maryland,1954," 2,685,000 "
Massachusetts,1954," 4,910,000 "
Michigan,1954," 7,066,000 "
Minnesota,1954," 3,113,000 "
Mississippi,1954," 2,064,000 "
Missouri,1954," 4,066,000 "
Montana,1954," 624,000 "
Nebraska,1954," 1,340,000 "
Nevada,1954," 213,000 "
New Hampshire,1954," 213,000 "
New Jersey,1954," 5,360,000 "
New Mexico,1954," 5,360,000 "
New York,1954," 15,814,000 "
North Carolina,1954," 4,131,000 "
North Dakota,1954," 611,000 "
Ohio,1954," 8,873,000 "
Oklahoma,1954," 2,209,000 "
Oregon,1954," 1,626,000 "
Pennsylvania,1954," 10,817,000 "
Rhode Island,1954," 816,000 "
South Carolina,1954," 2,176,000 "
South Dakota,1954," 655,000 "
Tennessee,1954," 3,359,000 "
Texas,1954," 8,382,000 "
District of Columbia,1954," 791,000 "
Utah,1954," 750,000 "
Vermont,1954," 377,000 "
Virginia,1954," 3,555,000 "
Washington,1954," 2,516,000 "
West Virginia,1954," 1,905,000 "
Wisconsin,1954," 3,608,000 "
Wyoming,1954," 293,000 "
Alaska,1955," 222,000 "
Alabama,1955," 3,050,000 "
Arkansas,1955," 1,725,000 "
Arizona,1955," 987,000 "
California,1955," 13,133,000 "
Colorado,1955," 1,546,000 "
Connecticut,1955," 2,300,000 "
Delaware,1955," 389,000 "
Florida,1955," 3,747,000 "
Georgia,1955," 3,636,000 "
Hawaii,1955," 539,000 "
Idaho,1955," 618,000 "
Illinois,1955," 9,435,000 "
Indiana,1955," 4,363,000 "
Iowa,1955," 2,679,000 "
Kansas,1955," 2,093,000 "
Kentucky,1955," 2,910,000 "
Louisiana,1955," 2,946,000 "
Maine,1955," 934,000 "
Maryland,1955," 2,742,000 "
Massachusetts,1955," 4,882,000 "
Michigan,1955," 7,285,000 "
Minnesota,1955," 3,172,000 "
Mississippi,1955," 2,060,000 "
Missouri,1955," 4,134,000 "
Montana,1955," 636,000 "
Nebraska,1955," 1,374,000 "
Nevada,1955," 237,000 "
New Hampshire,1955," 237,000 "
New Jersey,1955," 5,502,000 "
New Mexico,1955," 5,502,000 "
New York,1955," 15,966,000 "
North Carolina,1955," 4,242,000 "
North Dakota,1955," 615,000 "
Ohio,1955," 9,017,000 "
Oklahoma,1955," 2,250,000 "
Oregon,1955," 1,659,000 "
Pennsylvania,1955," 10,939,000 "
Rhode Island,1955," 823,000 "
South Carolina,1955," 2,200,000 "
South Dakota,1955," 663,000 "
Tennessee,1955," 3,415,000 "
Texas,1955," 8,660,000 "
District of Columbia,1955," 785,000 "
Utah,1955," 783,000 "
Vermont,1955," 375,000 "
Virginia,1955," 3,588,000 "
Washington,1955," 2,604,000 "
West Virginia,1955," 1,880,000 "
Wisconsin,1955," 3,679,000 "
Wyoming,1955," 307,000 "
Alaska,1956," 224,000 "
Alabama,1956," 3,071,000 "
Arkansas,1956," 1,704,000 "
Arizona,1956," 1,053,000 "
California,1956," 13,713,000 "
Colorado,1956," 1,625,000 "
Connecticut,1956," 2,316,000 "
Delaware,1956," 408,000 "
Florida,1956," 4,047,000 "
Georgia,1956," 3,701,000 "
Hawaii,1956," 559,000 "
Idaho,1956," 628,000 "
Illinois,1956," 9,530,000 "
Indiana,1956," 4,458,000 "
Iowa,1956," 2,703,000 "
Kansas,1956," 2,119,000 "
Kentucky,1956," 2,898,000 "
Louisiana,1956," 3,032,000 "
Maine,1956," 938,000 "
Maryland,1956," 2,811,000 "
Massachusetts,1956," 4,891,000 "
Michigan,1956," 7,467,000 "
Minnesota,1956," 3,240,000 "
Mississippi,1956," 2,086,000 "
Missouri,1956," 4,163,000 "
Montana,1956," 656,000 "
Nebraska,1956," 1,397,000 "
Nevada,1956," 250,000 "
New Hampshire,1956," 250,000 "
New Jersey,1956," 5,615,000 "
New Mexico,1956," 5,615,000 "
New York,1956," 16,112,000 "
North Carolina,1956," 4,309,000 "
North Dakota,1956," 613,000 "
Ohio,1956," 9,207,000 "
Oklahoma,1956," 2,273,000 "
Oregon,1956," 1,698,000 "
Pennsylvania,1956," 10,972,000 "
Rhode Island,1956," 840,000 "
South Carolina,1956," 2,229,000 "
South Dakota,1956," 670,000 "
Tennessee,1956," 3,415,000 "
Texas,1956," 8,830,000 "
District of Columbia,1956," 759,000 "
Utah,1956," 809,000 "
Vermont,1956," 377,000 "
Virginia,1956," 3,722,000 "
Washington,1956," 2,668,000 "
West Virginia,1956," 1,857,000 "
Wisconsin,1956," 3,742,000 "
Wyoming,1956," 312,000 "
Alaska,1957," 231,000 "
Alabama,1957," 3,109,000 "
Arkansas,1957," 1,733,000 "
Arizona,1957," 1,125,000 "
California,1957," 14,264,000 "
Colorado,1957," 1,664,000 "
Connecticut,1957," 2,359,000 "
Delaware,1957," 426,000 "
Florida,1957," 4,372,000 "
Georgia,1957," 3,766,000 "
Hawaii,1957," 584,000 "
Idaho,1957," 642,000 "
Illinois,1957," 9,668,000 "
Indiana,1957," 4,529,000 "
Iowa,1957," 2,716,000 "
Kansas,1957," 2,128,000 "
Kentucky,1957," 2,928,000 "
Louisiana,1957," 3,115,000 "
Maine,1957," 943,000 "
Maryland,1957," 2,873,000 "
Massachusetts,1957," 4,929,000 "
Michigan,1957," 7,569,000 "
Minnesota,1957," 3,274,000 "
Mississippi,1957," 2,088,000 "
Missouri,1957," 4,189,000 "
Montana,1957," 667,000 "
Nebraska,1957," 1,394,000 "
Nevada,1957," 260,000 "
New Hampshire,1957," 260,000 "
New Jersey,1957," 5,737,000 "
New Mexico,1957," 5,737,000 "
New York,1957," 16,374,000 "
North Carolina,1957," 4,368,000 "
North Dakota,1957," 612,000 "
Ohio,1957," 9,410,000 "
Oklahoma,1957," 2,282,000 "
Oregon,1957," 1,712,000 "
Pennsylvania,1957," 10,954,000 "
